Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
3697643/;;;;MPL CLIP, яюфњхь 0 ьь, ё/т  173L8100;;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900773780;;79;24.04.2018;-2000;ив;;
1100;643;;4900773012;;10;23.04.2018;-1000;ив;;
1103;101;;5000041255;;9;23.04.2018;5;ив;;
1100;643;;4900772613;;41;23.04.2018;-500;ив;;
1100;643;;4900772548;;59;23.04.2018;-500;ив;;
1100;643;;4900772817;;69;23.04.2018;-1000;ив;;
1100;643;;4900773144;;49;23.04.2018;-500;ив;;
1100;643;;4900772725;;62;23.04.2018;-500;ив;;
1100;643;;4900771610;;50;20.04.2018;-1000;ив;;
1100;643;;4900771626;;45;20.04.2018;-1500;ив;;
1100;643;;4900771973;;156;20.04.2018;-3000;ив;;
1100;643;;4900771255;;88;19.04.2018;-1500;ив;;
1100;643;;4900771229;;64;19.04.2018;-500;ив;;
1100;643;;4900771062;;32;19.04.2018;-500;ив;;
1100;643;;4900770886;;61;19.04.2018;-500;ив;;
1100;643;;4900770934;;71;19.04.2018;-500;ив;;
1100;643;;4900770242;;168;18.04.2018;-1000;ив;;
1100;643;;4900769968;;48;18.04.2018;-500;ив;;
1100;643;;4900770012;;102;18.04.2018;-500;ив;;
1100;643;;4900770252;;51;18.04.2018;-500;ив;;
1100;643;;4900770242;;169;18.04.2018;-2500;ив;;
1100;643;;4900769448;;51;17.04.2018;-500;ив;;
1100;643;;4900769605;;89;17.04.2018;-500;ив;;
1100;643;;4900769250;;61;17.04.2018;-1500;ив;;
1100;643;;4900769239;;47;17.04.2018;-1000;ив;;
1100;643;;4900769696;;69;17.04.2018;-500;ив;;
1100;643;;4900769752;;152;17.04.2018;-1000;ив;;
1100;643;;4900769548;;71;17.04.2018;-1000;ив;;
1100;643;;4900768981;;59;16.04.2018;-1000;ив;;
1100;643;;4900768968;;65;16.04.2018;-1000;ив;;
1100;643;;4900768909;;52;16.04.2018;-500;ив;;
1100;643;;4900768963;;102;16.04.2018;-2000;ив;;
1100;643;;4900768938;;58;16.04.2018;-500;ив;;
1100;643;;4900768920;;48;16.04.2018;-500;ив;;
1100;643;;4900768902;;49;16.04.2018;-500;ив;;
1100;643;;4900768976;;74;16.04.2018;-1000;ив;;
1100;643;;4900767360;;73;13.04.2018;-2500;ив;;
1100;643;;4900767386;;100;13.04.2018;-1500;ив;;
1100;101;;5000041068;;96;13.04.2018;13 500;ив;;
1100;643;;4900767849;;121;13.04.2018;-500;ив;;
1100;643;;4900767591;;113;13.04.2018;-1000;ив;;
1100;643;;4900767760;;166;13.04.2018;-6000;ив;;
1100;643;;4900766885;;38;12.04.2018;-2000;ив;;
1100;643;;4900766939;;70;12.04.2018;-500;ив;;
1100;643;;4900766953;;117;12.04.2018;-1500;ив;;
1100;643;;4900766980;;82;12.04.2018;-1000;ив;;
1100;643;;4900767032;;84;12.04.2018;-500;ив;;
1100;101;;5000040992;;85;11.04.2018;36 000;ив;;
1100;643;;4900765613;;93;11.04.2018;-500;ив;;
1100;643;;4900765958;;246;11.04.2018;-4500;ив;;
1100;643;;4900765941;;112;11.04.2018;-1000;ив;;
1100;643;;4900764885;;71;10.04.2018;-1500;ив;;
1100;643;;4900764921;;50;10.04.2018;-500;ив;;
1100;643;;4900764499;;39;10.04.2018;-1000;ив;;
1100;643;;4900765045;;43;10.04.2018;-495;ив;;
1100;643;;4900765079;;71;10.04.2018;-1000;ив;;
1100;643;;4900765209;;95;10.04.2018;-1500;ив;;
1100;643;;4900764113;;42;09.04.2018;-500;ив;;
1100;643;;4900764137;;93;09.04.2018;-2000;ив;;
;641;;4900762750;;18;06.04.2018;5;ив;;
1100;641;;4900762750;;17;06.04.2018;-5;ив;;
1100;643;;4900763135;;134;06.04.2018;-2500;ив;;
1100;101;;5000040823;;171;06.04.2018;24 000;ив;;
1100;643;;4900763230;;73;06.04.2018;-2000;ив;;
1100;643;;4900762823;;86;06.04.2018;-1000;ив;;
1100;643;;4900763139;;67;06.04.2018;-500;ив;;
1100;643;;4900762055;;29;05.04.2018;-500;ив;;
1100;643;;4900762571;;112;05.04.2018;-1500;ив;;
1100;643;;4900762077;;21;05.04.2018;-1000;ив;;
1100;643;;4900762314;;74;05.04.2018;-500;ив;;
1100;643;;4900761222;;81;04.04.2018;-1000;ив;;
1100;643;;4900761392;;16;04.04.2018;-500;ив;;
1100;643;;4900761625;;31;04.04.2018;-500;ив;;
1100;643;;4900761436;;106;04.04.2018;-1500;ив;;
1100;643;;4900761647;;194;04.04.2018;-1500;ив;;
1100;643;;4900760251;;47;03.04.2018;-1000;ив;;
1100;643;;4900760809;;25;03.04.2018;-4000;ив;;
1100;643;;4900760303;;26;03.04.2018;-1000;ив;;
1100;643;;4900760359;;21;03.04.2018;-500;ив;;
1100;643;;4900760961;;114;03.04.2018;-1500;ив;;
1100;643;;4900760790;;31;03.04.2018;-500;ив;;
1100;643;;4900760106;;89;02.04.2018;-500;ив;;
1100;643;;4900760154;;48;02.04.2018;-500;ив;;
1100;643;;4900759998;;111;02.04.2018;-1000;ив;;
1100;643;;4900759817;;52;02.04.2018;-500;ив;;
1100;643;;4900759805;;78;02.04.2018;-1000;ив;;
1100;643;;4900759798;;55;02.04.2018;-500;ив;;
1100;643;;4900758901;;48;30.03.2018;-500;ив;;
1100;643;;4900758950;;27;30.03.2018;-500;ив;;
1100;643;;4900758555;;172;30.03.2018;-3000;ив;;
1100;643;;4900758913;;76;30.03.2018;-2000;ив;;
1100;643;;4900758885;;62;30.03.2018;-1500;ив;;
1100;643;;4900757781;;20;29.03.2018;-500;ив;;
1100;643;;4900757821;;46;29.03.2018;-500;ив;;
1100;643;;4900758040;;95;29.03.2018;-1500;ив;;
1100;643;;4900757849;;35;29.03.2018;-500;ив;;
1100;643;;4900757861;;43;29.03.2018;-500;ив;;
1100;643;;4900758284;;82;29.03.2018;-500;ив;;
1100;643;;4900757411;;59;28.03.2018;-1000;ив;;
1100;643;;4900757446;;70;28.03.2018;-1500;ив;;
1100;643;;4900757277;;173;28.03.2018;-4500;ив;;
1100;643;;4900756072;;100;27.03.2018;-500;ив;;
1100;643;;4900756088;;40;27.03.2018;-500;ив;;
1100;643;;4900756248;;50;27.03.2018;-2000;ив;;
1100;643;;4900756496;;75;27.03.2018;-1500;ив;;
1100;643;;4900756523;;62;27.03.2018;-10000;ив;;
1100;643;;4900756746;;81;27.03.2018;-1500;ив;;
1100;102;;5000040442;;81;26.03.2018;-36000;ив;;
1100;101;;5000040443;;81;26.03.2018;36 000;ив;;
1100;643;;4900755816;;54;26.03.2018;-500;ив;;
1100;643;;4900755786;;70;26.03.2018;-1000;ив;;
1100;643;;4900755735;;43;26.03.2018;-500;ив;;
1100;643;;4900755609;;90;26.03.2018;-1500;ив;;
1100;643;;4900755447;;54;26.03.2018;-500;ив;;
1100;643;;4900754659;;81;23.03.2018;-1500;ив;;
1100;643;;4900754781;;37;23.03.2018;-500;ив;;
1100;643;;4900754678;;53;23.03.2018;-500;ив;;
1100;643;;4900754407;;147;23.03.2018;-2000;ив;;
1100;101;;5000040441;;81;22.03.2018;36 000;ив;;
1100;643;;4900753427;;30;22.03.2018;-1500;ив;;
1100;643;;4900753746;;65;22.03.2018;-500;ив;;
1100;643;;4900753780;;71;22.03.2018;-500;ив;;
1100;643;;4900753936;;130;22.03.2018;-1000;ив;;
1100;643;;4900752799;;198;21.03.2018;-4000;ив;;
1100;643;;4900752490;;61;21.03.2018;-500;ив;;
1100;643;;4900752513;;104;21.03.2018;-500;ив;;
1100;643;;4900752186;;106;20.03.2018;-1500;ив;;
1100;643;;4900751561;;50;20.03.2018;-500;ив;;
1100;643;;4900751966;;36;20.03.2018;-500;ив;;
1100;643;;4900751767;;54;20.03.2018;-1000;ив;;
1100;643;;4900751596;;49;20.03.2018;-500;ив;;
1100;643;;4900750668;;12;19.03.2018;-1000;ив;;
1100;643;;4900750681;;55;19.03.2018;-500;ив;;
1100;643;;4900751203;;44;19.03.2018;-500;ив;;
1100;643;;4900751276;;44;19.03.2018;-500;ив;;
