Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
1334692/;;;;TD схч BM, їрёђ.тћфт, 30 ъу, 300 ь(бЭпв);;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900165480;;118;26.05.2014;-10;ив;;
1100;643;;4900164967;;138;23.05.2014;-20;ив;;
1100;643;;4900163731;;86;21.05.2014;-10;ив;;
1100;643;;4900163676;;54;21.05.2014;-10;ив;;
1100;643;;4900162070;;233;16.05.2014;-40;ив;;
1100;643;;4900162070;;84;16.05.2014;-20;ив;;
1100;643;;4900160114;;84;12.05.2014;-10;ив;;
1100;643;;4900158605;;41;06.05.2014;-10;ив;;
1100;643;;4900158603;;56;06.05.2014;-10;ив;;
1100;643;;4900156770;;106;29.04.2014;-10;ив;;
1100;643;;4900155036;;86;24.04.2014;-10;ив;;
1100;643;;4900153709;;160;22.04.2014;-10;ив;;
1100;643;;4900153433;;91;21.04.2014;-40;ив;;
1100;643;;4900152450;;142;17.04.2014;-10;ив;;
1100;643;;4900151055;;4;15.04.2014;-10;ив;;
1100;643;;4900150102;;134;11.04.2014;-40;ив;;
1100;643;;4900149678;;46;10.04.2014;-10;ив;;
1100;643;;4900148686;;23;08.04.2014;-20;ив;;
1100;643;;4900148094;;68;07.04.2014;-10;ив;;
1100;643;;4900147127;;314;04.04.2014;-10;ив;;
1100;643;;4900147127;;133;04.04.2014;-20;ив;;
1100;643;;4900147127;;132;04.04.2014;-10;ив;;
1100;643;;4900146817;;139;03.04.2014;-20;ив;;
1100;643;;4900145134;;243;31.03.2014;-10;ив;;
1100;643;;4900143642;;50;26.03.2014;-10;ив;;
1100;643;;4900143632;;91;26.03.2014;-10;ив;;
1100;101;;5000008660;;35;25.03.2014;500;ив;;
1100;643;;4900140165;;61;18.03.2014;-10;ив;;
